"filename", "language", "JavaScript", "JSON", "wxml", "Less", "CSS", "comment", "blank", "total"
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\tabbar\tabbar.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\tabbar\tabbar.json", "JSON", 0, 6, 0, 0, 0, 0, 1, 7
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\tabbar\tabbar.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\tabbar\tabbar.wxss", "CSS", 0, 0, 0, 0, 11, 0, 2, 13
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\toptips\toptips.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\toptips\toptips.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\toptips\toptips.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\toptips\toptips.wxss", "CSS", 0, 0, 0, 0, 1, 0, 2, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\uploader\uploader.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\uploader\uploader.json", "JSON", 0, 6, 0, 0, 0, 0, 1, 7
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\uploader\uploader.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\uploader\uploader.wxss", "CSS", 0, 0, 0, 0, 0, 0, 3, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\weui-wxss\dist\style\weui.wxss", "CSS", 0, 0, 0, 0, 2, 4, 3, 9
"e:\毕业设计相关\果帕雅微信小程序\package-lock.json", "JSON", 0, 525, 0, 0, 0, 0, 1, 526
"e:\毕业设计相关\果帕雅微信小程序\package.json", "JSON", 0, 21, 0, 0, 0, 0, 1, 22
"e:\毕业设计相关\果帕雅微信小程序\pages\aaaademo\index.js", "JavaScript", 458, 0, 0, 0, 0, 69, 2, 529
"e:\毕业设计相关\果帕雅微信小程序\pages\aaaademo\index.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 3
"e:\毕业设计相关\果帕雅微信小程序\pages\aaaademo\index.wxml", "wxml", 0, 0, 136, 0, 0, 13, 5, 154
"e:\毕业设计相关\果帕雅微信小程序\pages\aaaademo\index.wxss", "CSS", 0, 0, 0, 0, 283, 2, 3, 288
"e:\毕业设计相关\果帕雅微信小程序\pages\cart\index.js", "JavaScript", 291, 0, 0, 0, 0, 104, 5, 400
"e:\毕业设计相关\果帕雅微信小程序\pages\cart\index.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 4
"e:\毕业设计相关\果帕雅微信小程序\pages\cart\index.less", "Less", 0, 0, 0, 329, 0, 0, 30, 359
"e:\毕业设计相关\果帕雅微信小程序\pages\cart\index.wxml", "wxml", 0, 0, 148, 0, 0, 15, 7, 170
"e:\毕业设计相关\果帕雅微信小程序\pages\cart\index.wxss", "CSS", 0, 0, 0, 0, 319, 0, 1, 320
"e:\毕业设计相关\果帕雅微信小程序\pages\dianzan\index.js", "JavaScript", 70, 0, 0, 0, 0, 4, 7, 81
"e:\毕业设计相关\果帕雅微信小程序\pages\dianzan\index.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 4
"e:\毕业设计相关\果帕雅微信小程序\pages\dianzan\index.wxml", "wxml", 0, 0, 45, 0, 0, 0, 5, 50
"e:\毕业设计相关\果帕雅微信小程序\pages\dianzan\index.wxss", "CSS", 0, 0, 0, 0, 72, 1, 1, 74
"e:\毕业设计相关\果帕雅微信小程序\pages\feedback\index.js", "JavaScript", 261, 0, 0, 0, 0, 36, 11, 308
"e:\毕业设计相关\果帕雅微信小程序\pages\feedback\index.json", "JSON", 0, 7, 0, 0, 0, 0, 1, 8
"e:\毕业设计相关\果帕雅微信小程序\pages\feedback\index.less", "Less", 0, 0, 0, 60, 0, 0, 7, 67
"e:\毕业设计相关\果帕雅微信小程序\pages\feedback\index.wxml", "wxml", 0, 0, 41, 0, 0, 0, 5, 46
"e:\毕业设计相关\果帕雅微信小程序\pages\feedback\index.wxss", "CSS", 0, 0, 0, 0, 58, 0, 1, 59
"e:\毕业设计相关\果帕雅微信小程序\pages\fenxiang\index.js", "JavaScript", 73, 0, 0, 0, 0, 4, 4, 81
"e:\毕业设计相关\果帕雅微信小程序\pages\fenxiang\index.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 4
"e:\毕业设计相关\果帕雅微信小程序\pages\fenxiang\index.wxml", "wxml", 0, 0, 45, 0, 0, 0, 5, 50
"e:\毕业设计相关\果帕雅微信小程序\pages\fenxiang\index.wxss", "CSS", 0, 0, 0, 0, 72, 1, 1, 74
"e:\毕业设计相关\果帕雅微信小程序\pages\front_page\index.js", "JavaScript", 125, 0, 0, 0, 0, 8, 6, 139
"e:\毕业设计相关\果帕雅微信小程序\pages\front_page\index.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 6
"e:\毕业设计相关\果帕雅微信小程序\pages\front_page\index.less", "Less", 0, 0, 0, 360, 0, 0, 28, 388
"e:\毕业设计相关\果帕雅微信小程序\pages\front_page\index.wxml", "wxml", 0, 0, 196, 0, 0, 37, 10, 243
"e:\毕业设计相关\果帕雅微信小程序\pages\front_page\index.wxss", "CSS", 0, 0, 0, 0, 356, 3, 1, 360
"e:\毕业设计相关\果帕雅微信小程序\pages\goods_detail\index.js", "JavaScript", 318, 0, 0, 0, 0, 35, 11, 364
"e:\毕业设计相关\果帕雅微信小程序\pages\goods_detail\index.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 4
"e:\毕业设计相关\果帕雅微信小程序\pages\goods_detail\index.less", "Less", 0, 0, 0, 217, 0, 1, 10, 228
"e:\毕业设计相关\果帕雅微信小程序\pages\goods_detail\index.wxml", "wxml", 0, 0, 90, 0, 0, 25, 9, 124
"e:\毕业设计相关\果帕雅微信小程序\pages\goods_detail\index.wxss", "CSS", 0, 0, 0, 0, 212, 1, 1, 214
"e:\毕业设计相关\果帕雅微信小程序\pages\goods_detail\introduce\index.js", "JavaScript", 22, 0, 0, 0, 0, 0, 5, 27
"e:\毕业设计相关\果帕雅微信小程序\pages\goods_detail\introduce\index.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 4
"e:\毕业设计相关\果帕雅微信小程序\pages\goods_detail\introduce\index.less", "Less", 0, 0, 0, 48, 0, 0, 2, 50
"e:\毕业设计相关\果帕雅微信小程序\pages\goods_detail\introduce\index.wxml", "wxml", 0, 0, 29, 0, 0, 0, 5, 34
"e:\毕业设计相关\果帕雅微信小程序\pages\goods_detail\introduce\index.wxss", "CSS", 0, 0, 0, 0, 44, 0, 1, 45
"e:\毕业设计相关\果帕雅微信小程序\pages\historySee\index.js", "JavaScript", 171, 0, 0, 0, 0, 8, 9, 188
"e:\毕业设计相关\果帕雅微信小程序\pages\historySee\index.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 5
"e:\毕业设计相关\果帕雅微信小程序\pages\historySee\index.wxml", "wxml", 0, 0, 71, 0, 0, 6, 6, 83
"e:\毕业设计相关\果帕雅微信小程序\pages\historySee\index.wxss", "CSS", 0, 0, 0, 0, 134, 1, 0, 135
"e:\毕业设计相关\果帕雅微信小程序\pages\index\index.js", "JavaScript", 20, 0, 0, 0, 0, 28, 18, 66
"e:\毕业设计相关\果帕雅微信小程序\pages\index\index.wxml", "wxml", 0, 0, 1, 0, 0, 1, 1, 3
"e:\毕业设计相关\果帕雅微信小程序\pages\login\index.js", "JavaScript", 102, 0, 0, 0, 0, 12, 7, 121
"e:\毕业设计相关\果帕雅微信小程序\pages\login\index.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 4
"e:\毕业设计相关\果帕雅微信小程序\pages\login\index.wxml", "wxml", 0, 0, 1, 0, 0, 1, 2, 4
"e:\毕业设计相关\果帕雅微信小程序\pages\login\index.wxss", "CSS", 0, 0, 0, 0, 4, 1, 0, 5
"e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat1\index.js", "JavaScript", 41, 0, 0, 0, 0, 18, 7, 66
"e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat1\index.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 3
"e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat1\index.less", "Less", 0, 0, 0, 52, 0, 3, 1, 56
"e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat1\index.wxml", "wxml", 0, 0, 46, 0, 0, 2, 2, 50
"e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat1\index.wxss", "CSS", 0, 0, 0, 0, 48, 3, 1, 52
"e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat\index.js", "JavaScript", 174, 0, 0, 0, 0, 13, 5, 192
"e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat\index.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 6
"e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat\index.less", "Less", 0, 0, 0, 82, 0, 0, 5, 87
"e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat\index.wxml", "wxml", 0, 0, 174, 0, 0, 13, 6, 193
